Name,Age,Team,Pos,G,Tck,Solo,Asst,TFL,Sack,PBU,INT,INT TD,FF,FR,FRTD
Dorian Williams,23,BUF,RLB,17,117,68,49,5,0.0,0,0,0,1,3,0
Terrel Bernard,25,BUF,MLB,13,104,55,49,5,1.0,3,2,0,0,1,0
Damar Hamlin,26,BUF,SS,14,89,62,27,2,0.0,5,2,0,0,1,0
Taylor Rapp,27,BUF,FS,14,82,48,34,2,0.0,6,2,0,1,0,0
Cameron Lewis,27,BUF,DB,17,68,47,21,2,0.0,4,1,0,0,0,0
Christian Benford,24,BUF,RCB,15,64,50,14,3,1.0,10,2,0,2,1,0
Rasul Douglas,29,BUF,LCB,15,58,43,15,5,0.0,5,0,0,1,0,0
Gregory Rousseau,24,BUF,RDE,16,53,36,17,16,8.0,3,0,0,3,1,0
Cole Bishop,22,BUF,S,16,40,25,15,1,0.0,2,0,0,1,0,0
A.J. Epenesa,26,BUF,LDE,17,39,23,16,8,6.0,2,0,0,2,0,0
Ed Oliver,27,BUF,LDT,14,29,14,15,5,3.0,0,0,0,3,0,0
Kaiir Elam,23,BUF,CB,13,26,17,9,2,0.0,2,0,0,0,1,0
Ja'Marcus Ingram,27,BUF,CB,17,24,16,8,2,1.0,4,2,1,0,0,0
DaQuan Jones,33,BUF,RDT,16,23,11,12,5,2.5,1,0,0,0,0,0
Casey Toohill,28,BUF,DE,14,20,9,11,2,1.0,1,0,0,0,1,0
Austin Johnson,30,BUF,DT,15,19,7,12,0,0.5,2,2,0,0,0,0
Javon Solomon,23,BUF,DE,14,13,9,4,3,2.0,0,0,0,1,1,0
Brandon Codrington,24,BUF,DB,17,9,8,1,0,0.0,1,0,0,0,1,0
