Name,Age,Team,Pos,G,FGA,FGM,Long,XPA,XPM,KO,KOYds,TB
Brandon Aubrey,28,DAL,K,17,38,36,60,52,49,109,7068,99
Jason Myers,32,SEA,K,17,42,35,55,33,33,86,5430,55
Cairo Santos,32,CHI,K,17,38,35,55,33,31,76,4830,60
Greg Zuerlein,36,NYJ,K,16,38,35,55,16,15,64,4150,58
Matt Gay,29,IND,K,17,41,33,57,36,35,92,5898,72
Dustin Hopkins,33,CLE,K,15,36,33,58,26,24,77,4890,50
Harrison Butker,28,KAN,K,17,35,33,60,38,38,85,5565,74
Younghoe Koo,29,ATL,K,17,37,32,54,28,27,3,192,2
Justin Tucker,34,BAL,K,17,37,32,50,52,51,101,6445,80
Cameron Dicker,23,LAC,K,17,33,31,55,35,35,81,5168,68
Blake Grupe,25,NOR,K,17,37,30,55,40,40,91,5828,76
Brandon McManus,32,JAX,K,17,37,30,56,35,35,86,5421,65
Wil Lutz,29,DEN,K,17,34,30,52,31,29,81,5123,71
Jake Elliott,28,PHI,K,17,32,30,61,46,45,91,5846,73
Chris Boswell,32,PIT,K,17,31,29,57,28,27,76,4833,55
Chase McLaughlin,27,TAM,K,17,31,29,57,33,33,4,255,3
Nick Folk,39,TEN,K,17,30,29,53,30,28,63,3927,32
Matt Prater,39,ARI,K,17,33,28,62,23,22,79,4842,66
Anders Carlson,25,GNB,K,17,33,27,53,39,34,86,5466,37
Ka'imi Fairbairn,29,HOU,K,12,28,27,54,22,21,58,3624,37
Evan McPherson,24,CIN,K,17,31,26,56,40,40,82,5162,63
Daniel Carlson,28,LVR,K,17,30,26,54,32,32,78,4977,48
Eddy Piñeiro,28,CAR,K,15,29,25,56,20,17,57,3532,36
Greg Joseph,29,MIN,K,17,30,24,54,38,36,79,5084,61
Tyler Bass,26,BUF,K,17,29,24,54,50,49,95,5952,53
Jason Sanders,28,MIA,K,17,28,24,57,59,58,90,5803,76
Jake Moody,24,SFO,K,17,25,21,57,61,60,90,5680,54
Joey Slye,27,WAS,K,17,24,19,61,35,32,72,4520,64
Brett Maher,34,LAR,K,8,23,17,54,15,13,2,56,0
Chad Ryland,24,NWE,K,17,25,16,56,25,24,60,3814,39
Riley Patterson,24,2TM,K,15,18,16,52,44,41,16,969,6
Lucas Havrisik,24,LAR,K,9,20,15,52,22,19,8,524,7
Riley Patterson,24,DET,K,13,17,15,52,37,35,6,326,2
Graham Gano,36,NYG,K,8,17,11,57,8,8,28,1819,23
Riley Patterson,24,CLE,K,2,1,1,33,7,6,10,643,4
