Name,Age,Team,Pos,G,Rec,Yds,TD,Long,Y/G,Fmb
Justin Jefferson,23,MIN,WR,17,128,1809,8,64,106.4,0
Tyreek Hill,28,MIA,WR,17,119,1710,7,64,100.6,1
Davante Adams,30,LVR,WR,17,100,1516,14,60,89.2,1
A.J. Brown,25,PHI,WR,17,88,1496,11,78,88.0,2
Stefon Diggs,29,BUF,WR,16,108,1429,11,53,89.3,1
CeeDee Lamb,23,DAL,WR,17,107,1359,9,39,79.9,0
Jaylen Waddle,24,MIA,WR,17,75,1356,8,84,79.8,1
Travis Kelce,33,KAN,TE,17,110,1338,12,52,78.7,1
DeVonta Smith,24,PHI,WR,17,95,1196,7,45,70.4,1
Terry McLaurin,27,WAS,WR,17,77,1191,5,52,70.1,1
Amon-Ra St. Brown,23,DET,WR,16,106,1161,6,49,72.6,0
Amari Cooper,28,CLE,WR,17,78,1160,9,55,68.2,0
Mike Evans,29,TAM,WR,15,77,1124,6,63,74.9,0
Christian Kirk,26,JAX,WR,17,84,1108,8,49,65.2,1
Garrett Wilson,22,NYJ,WR,17,83,1103,4,60,64.9,2
D.K. Metcalf,25,SEA,WR,17,90,1048,6,54,61.6,2
Ja'Marr Chase,22,CIN,WR,12,87,1046,9,60,87.2,2
Chris Olave,22,NOR,WR,15,72,1042,4,53,69.5,2
Tyler Lockett,30,SEA,WR,16,84,1033,9,40,64.6,2
Tee Higgins,23,CIN,WR,16,74,1029,7,59,64.3,0
Chris Godwin,26,TAM,WR,15,104,1023,3,44,68.2,2
Brandon Aiyuk,24,SFO,WR,17,78,1015,8,54,59.7,1
Jerry Jeudy,23,DEN,WR,15,67,972,6,67,64.8,0
JuJu Smith-Schuster,26,KAN,WR,16,78,933,3,53,58.3,3
Michael Pittman Jr.,25,IND,WR,16,99,925,4,28,57.8,2
T.J. Hockenson,25,2TM,TE,17,86,914,6,81,53.8,1
Mike Williams,28,LAC,WR,13,63,895,4,55,68.8,0
D.J. Moore,25,CAR,WR,17,63,888,7,62,52.2,0
Diontae Johnson,26,PIT,WR,17,86,882,0,37,51.9,1
Drake London,21,ATL,WR,17,72,866,4,40,50.9,3
Mark Andrews,27,BAL,TE,15,73,847,5,36,56.5,1
Donovan Peoples-Jones,23,CLE,WR,17,61,839,3,42,49.4,1
Gabriel Davis,23,BUF,WR,15,48,836,7,98,55.7,1
Courtland Sutton,27,DEN,WR,15,64,829,2,51,55.3,0
Zay Jones,27,JAX,WR,16,82,823,5,59,51.4,0
Cooper Kupp,29,LAR,WR,9,75,812,6,75,90.2,2
Jakobi Meyers,26,NWE,WR,14,67,804,6,48,57.4,2
George Pickens,21,PIT,WR,17,52,801,4,42,47.1,0
Allen Lazard,27,GNB,WR,15,60,788,6,47,52.5,0
Josh Palmer,23,LAC,WR,16,72,769,3,50,48.1,1
Evan Engram,28,JAX,TE,17,73,766,4,36,45.1,0
George Kittle,29,SFO,TE,15,60,765,11,54,51.0,1
Tyler Boyd,28,CIN,WR,16,58,762,5,60,47.6,0
Keenan Allen,30,LAC,WR,10,66,752,4,46,75.2,1
Christian McCaffrey,26,2TM,RB,17,85,741,5,49,43.6,1
