Name,Age,Team,Pos,G,Att,Yds,TD,Long,Y/G,Fmb
Jonathan Taylor,22,IND,RB,17,332,1811,18,83,106.5,4
Nick Chubb,26,CLE,RB,14,228,1259,8,70,89.9,2
Joe Mixon,25,CIN,RB,16,292,1205,13,32,75.3,2
Najee Harris,23,PIT,RB,17,307,1200,7,37,70.6,0
Dalvin Cook,26,MIN,RB,13,249,1159,6,66,89.2,3
Antonio Gibson,23,WAS,RB,16,258,1037,7,27,64.8,6
Ezekiel Elliott,26,DAL,RB,17,237,1002,10,47,58.9,1
Elijah Mitchell,23,SFO,RB,11,207,963,5,39,87.5,0
Derrick Henry,27,TEN,RB,8,219,937,10,76,117.1,1
Damien Harris,24,NWE,RB,15,202,929,15,64,61.9,2
Melvin Gordon,28,DEN,RB,16,203,918,8,70,57.4,3
Austin Ekeler,26,LAC,RB,16,206,911,12,28,56.9,4
Javonte Williams,21,DEN,RB,17,203,903,4,49,53.1,2
Alvin Kamara,26,NOR,RB,13,240,898,4,30,69.1,0
Josh Jacobs,23,LVR,RB,15,217,872,9,28,58.1,2
Devin Singletary,24,BUF,RB,17,188,870,7,46,51.2,5
David Montgomery,24,CHI,RB,13,225,849,7,41,65.3,1
Sony Michel,26,LAR,RB,17,208,845,4,39,49.7,1
Leonard Fournette,26,TAM,RB,14,180,812,8,47,58.0,1
AJ Dillon,23,GNB,RB,17,187,803,5,36,47.2,2
Aaron Jones,27,GNB,RB,15,171,799,4,57,53.3,2
Jalen Hurts,23,PHI,QB,15,139,784,10,31,52.3,9
James Robinson,23,JAX,RB,14,164,767,8,58,54.8,4
Lamar Jackson,24,BAL,QB,12,133,767,2,31,63.9,6
Josh Allen,25,BUF,QB,17,122,763,6,34,44.9,8
Miles Sanders,24,PHI,RB,12,137,754,0,38,62.8,1
James Conner,26,ARI,RB,15,202,752,15,35,50.1,2
Rashaad Penny,25,SEA,RB,10,119,749,6,62,74.9,0
Tony Pollard,24,DAL,RB,15,130,719,2,58,47.9,2
Darrell Henderson,24,LAR,RB,12,149,688,5,29,57.3,0
Michael Carter,22,NYJ,RB,14,147,639,4,55,45.6,1
Cordarrelle Patterson,30,ATL,RB,16,153,618,6,39,38.6,2
D'Andre Swift,22,DET,RB,13,151,617,5,57,47.5,2
Myles Gaskin,24,MIA,RB,17,173,612,3,30,36.0,2
Chuba Hubbard,22,CAR,RB,17,172,612,5,26,36.0,1
Rhamondre Stevenson,23,NWE,RB,12,133,606,5,21,50.5,2
Jamaal Williams,26,DET,RB,13,153,601,3,20,46.2,1
Saquon Barkley,24,NYG,RB,13,162,593,2,41,45.6,2
Devontae Booker,29,NYG,RB,16,145,593,2,31,37.1,0
Chase Edmonds,25,ARI,RB,12,116,592,2,54,49.3,1
Devonta Freeman,29,BAL,RB,16,133,576,5,32,36.0,0
D'Onta Foreman,25,TEN,RB,9,133,566,3,35,62.9,2
Darrel Williams,26,KAN,RB,17,144,558,6,21,32.8,0
Mark Ingram,32,2TM,RB,14,160,554,2,28,39.6,1
D'Ernest Johnson,25,CLE,RB,17,100,534,3,30,31.4,1
Clyde Edwards-Helaire,22,KAN,RB,10,119,517,4,17,51.7,2
Mike Davis,28,ATL,RB,17,138,503,3,18,29.6,4
Latavius Murray,31,BAL,RB,14,119,501,6,46,35.8,0
Alexander Mattison,23,MIN,RB,16,134,491,3,48,30.7,1
Christian McCaffrey,25,CAR,RB,7,99,442,1,18,63.1,1
Khalil Herbert,23,CHI,RB,17,103,433,2,29,25.5,1
Ronald Jones II,24,TAM,RB,16,101,428,4,30,26.8,2
Rex Burkhead,31,HOU,RB,16,122,427,3,36,26.7,1
Kyler Murray,24,ARI,QB,14,88,423,5,57,30.2,13
Justin Fields,22,CHI,QB,12,72,420,2,23,35.0,12
Alex Collins,27,SEA,RB,11,108,411,2,25,37.4,1
Jordan Howard,27,PHI,RB,7,86,406,3,25,58.0,0
Kareem Hunt,26,CLE,RB,8,78,386,5,33,48.3,0
Patrick Mahomes,26,KAN,QB,17,66,381,2,32,22.4,9
Taysom Hill,31,NOR,QB/WR,12,70,374,5,44,31.2,2
Boston Scott,26,PHI,RB,16,87,373,7,23,23.3,1
Deebo Samuel,25,SFO,WR,16,59,365,8,49,22.8,4
Justin Jackson,25,LAC,RB,14,68,364,2,75,26.0,1
Tevin Coleman,28,NYJ,RB,11,84,356,0,20,32.4,0
Dontrell Hilliard,26,TEN,RB,8,56,350,2,68,43.8,2
Zack Moss,24,BUF,RB,13,96,345,4,17,26.5,2
Trevor Lawrence,22,JAX,QB,17,73,334,2,26,19.6,9
Duke Johnson,28,MIA,RB,5,71,330,3,27,66.0,0
Taylor Heinicke,28,WAS,QB,16,60,313,1,38,19.6,7
Justin Herbert,23,LAC,QB,17,63,302,3,36,17.8,1
Daniel Jones,24,NYG,QB,11,62,298,2,46,27.1,7
Mark Ingram,32,HOU,RB,7,92,294,1,24,42.0,0
Jeff Wilson,26,SFO,RB,9,79,294,2,17,32.7,1
Tyler Huntley,23,BAL,QB,7,47,294,2,21,42.0,4
Kenneth Gainwell,22,PHI,RB,16,68,291,5,18,18.2,2
Nyheim Hines,25,IND,RB,17,56,276,2,34,16.2,3
Ryan Tannehill,33,TEN,QB,17,55,270,7,28,15.9,10
Jaret Patterson,22,WAS,RB,17,68,266,2,13,15.6,1
Mark Ingram,32,NOR,RB,7,68,260,1,28,37.1,1
Derrick Gore,27,KAN,RB,11,51,256,2,51,23.3,0
Kenyan Drake,27,LVR,RB,12,63,254,2,21,21.2,1
Carlos Hyde,31,JAX,RB,12,72,253,1,18,21.1,2
Phillip Lindsay,27,2TM,RB,14,88,249,1,35,17.8,0
Samaje Perine,26,CIN,RB,16,55,246,1,46,15.4,0
Ty Johnson,24,NYJ,RB,16,61,238,2,24,14.9,2
Chris Carson,27,SEA,RB,4,54,232,3,33,58.0,1
Craig Reynolds,25,DET,RB,5,55,230,0,35,46.0,0
Cam Newton,32,CAR,QB,8,47,230,5,33,28.8,4
David Johnson,30,HOU,RB,13,67,228,0,15,17.5,1
