Date,WeekNum,Status,AwayTeam,AwayTeamRecord,HomeTeam,HomeTeamRecord,Venue,Broadcast,SeasonType,WeekId,GameId
"September 5, 2024",1,Final,Baltimore Ravens,0-1,Kansas City Chiefs,1-0,"GEHA Field at Arrowhead Stadium, Kansas City, MO, USA",NBC/Peacock,2,1,401671789
"September 6, 2024",1,Final,Green Bay Packers,0-1,Philadelphia Eagles,1-0,"Corinthians Arena, Sao Paulo, None, Brazil",Peacock,2,1,401671805
"September 8, 2024",1,Final,Pittsburgh Steelers,1-0,Atlanta Falcons,0-1,"Mercedes-Benz Stadium, Atlanta, GA, USA",FOX,2,1,401671744
"September 8, 2024",1,Final,Arizona Cardinals,0-1,Buffalo Bills,1-0,"Highmark Stadium, Orchard Park, NY, USA",CBS,2,1,401671617
"September 8, 2024",1,Final,Tennessee Titans,0-1,Chicago Bears,1-0,"Soldier Field, Chicago, IL, USA",FOX,2,1,401671719
"September 8, 2024",1,Final,New England Patriots,1-0,Cincinnati Bengals,0-1,"Paycor Stadium, Cincinnati, OH, USA",CBS,2,1,401671628
"September 8, 2024",1,Final,Houston Texans,1-0,Indianapolis Colts,0-1,"Lucas Oil Stadium, Indianapolis, IN, USA",CBS,2,1,401671861
"September 8, 2024",1,Final,Jacksonville Jaguars,0-1,Miami Dolphins,1-0,"Hard Rock Stadium, Miami Gardens, FL, USA",CBS,2,1,401671849
"September 8, 2024",1,Final,Carolina Panthers,0-1,New Orleans Saints,1-0,"Caesars Superdome, New Orleans, LA, USA",FOX,2,1,401671734
"September 8, 2024",1,Final,Minnesota Vikings,1-0,New York Giants,0-1,"MetLife Stadium, East Rutherford, NJ, USA",FOX,2,1,401671712
"September 8, 2024",1,Final,Las Vegas Raiders,0-1,Los Angeles Chargers,1-0,"SoFi Stadium, Inglewood, CA, USA",CBS,2,1,401671659
"September 8, 2024",1,Final,Denver Broncos,0-1,Seattle Seahawks,1-0,"Lumen Field, Seattle, WA, USA",CBS,2,1,401671664
"September 8, 2024",1,Final,Dallas Cowboys,1-0,Cleveland Browns,0-1,"Huntington Bank Field, Cleveland, OH, USA",FOX,2,1,401671761
"September 8, 2024",1,Final,Washington Commanders,0-1,Tampa Bay Buccaneers,1-0,"Raymond James Stadium, Tampa, FL, USA",FOX,2,1,401671770
"September 8, 2024",1,Final,Los Angeles Rams,0-1,Detroit Lions,1-0,"Ford Field, Detroit, MI, USA",NBC/Peacock,2,1,401671792
"September 9, 2024",1,Final,New York Jets,0-1,San Francisco 49ers,1-0,"Levi's Stadium, Santa Clara, CA, USA",ESPN/ABC/ESPN+,2,1,401671696
