Player,Age,Team,Pos,G,FGA,FGM,Long,XPA,XPM,KO,KOYds,TB
Chris Boswell,33,PIT,K,17,44,41,57,35,35,90,5713,49
Brandon Aubrey,29,DAL,K,17,47,40,65,30,30,88,5341,43
Cameron Dicker,24,LAC,K,17,42,39,59,36,33,94,5962,65
Jason Sanders,29,MIA,K,17,41,37,57,28,26,86,5421,66
Ka'imi Fairbairn,30,HOU,K,17,42,36,59,36,34,88,5426,42
Daniel Carlson,29,LVR,K,17,40,34,54,25,23,80,4850,51
Matt Gay,30,IND,K,16,37,31,56,33,33,82,5280,68
Wil Lutz,30,DEN,K,17,34,31,55,46,46,95,6022,70
Chase McLaughlin,28,TAM,K,17,32,30,56,56,54,7,351,5
Joshua Karty,22,LAR,K,17,34,29,58,36,32,7,399,5
Jake Elliott,29,PHI,K,17,36,28,50,48,47,11,714,9
Chad Ryland,25,ARI,K,13,32,28,58,27,26,67,4374,54
Blake Grupe,26,NOR,K,17,31,27,57,33,31,78,4975,21
Austin Seibert,28,WAS,K,9,30,27,55,24,22,60,3678,14
Cam Little,21,JAX,K,17,29,27,59,27,27,76,4860,65
Joey Slye,28,NWE,K,17,33,26,63,26,25,70,4348,46
Jason Myers,33,SEA,K,17,30,26,59,40,37,86,5524,46
Jake Bates,25,DET,K,17,29,26,58,67,64,110,7053,85
Younghoe Koo,30,ATL,K,14,34,25,58,26,26,15,969,5
Jake Moody,25,SFO,K,14,34,24,53,33,32,68,4256,49
Will Reichard,23,MIN,K,13,30,24,58,38,38,74,4720,62
Tyler Bass,27,BUF,K,17,29,24,61,64,59,103,6514,75
Justin Tucker,35,BAL,K,17,30,22,56,62,60,95,6069,68
Eddy Piñeiro,29,CAR,K,17,26,22,53,35,33,72,4457,32
Harrison Butker,29,KAN,K,13,25,21,53,31,29,62,3988,49
Cairo Santos,33,CHI,K,17,25,21,54,26,25,71,4463,38
Nick Folk,40,TEN,K,14,22,21,56,25,25,58,3666,37
Brandon McManus,33,GNB,K,11,21,20,55,30,30,61,3875,27
Dustin Hopkins,34,CLE,K,16,27,18,56,20,17,62,3911,36
Evan McPherson,25,CIN,K,12,22,16,56,38,37,70,4353,54
Greg Joseph,30,3TM,K,8,20,16,52,11,11,38,2413,24
Greg Joseph,30,NYG,K,6,16,13,52,6,6,27,1758,23
Brayden Narveson,25,2TM,K,7,18,12,47,18,18,38,2443,18
Brayden Narveson,25,GNB,K,6,17,12,47,16,16,33,2118,17
Brayden Narveson,25,TEN,K,1,1,0,,2,2,5,325,1
