Player,Age,Team,Pos,G,Rec,Yds,TD,Long,Y/G,Fmb
Ja'Marr Chase,24,CIN,WR,17,127,1708,17,70,100.5,0
Justin Jefferson,25,MIN,WR,17,103,1533,10,97,90.2,1
Brian Thomas,22,JAX,WR,17,87,1282,10,85,75.4,0
Drake London,23,ATL,WR,17,100,1271,9,39,74.8,0
Amon-Ra St. Brown,25,DET,WR,17,115,1263,12,66,74.3,1
Jerry Jeudy,25,CLE,WR,17,90,1229,4,89,72.3,0
Malik Nabers,21,NYG,WR,15,109,1204,7,59,80.3,1
Brock Bowers,22,LVR,TE,17,112,1194,5,57,70.2,0
CeeDee Lamb,25,DAL,WR,15,101,1194,6,65,79.6,1
Ladd McConkey,23,LAC,WR,16,82,1149,7,60,71.8,2
Trey McBride,25,ARI,TE,16,111,1146,2,37,71.6,0
Jaxon Smith-Njigba,22,SEA,WR,17,100,1130,6,46,66.5,1
George Kittle,31,SFO,TE,15,78,1106,8,43,73.7,0
Garrett Wilson,24,NYJ,WR,17,101,1104,7,42,64.9,2
Terry McLaurin,29,WAS,WR,17,82,1096,13,86,64.5,1
Courtland Sutton,29,DEN,WR,17,81,1081,8,47,63.6,1
A.J. Brown,27,PHI,WR,13,67,1079,7,67,83.0,0
Davante Adams,32,2TM,WR,14,85,1063,8,71,75.9,0
Zay Flowers,24,BAL,WR,17,74,1059,4,53,62.3,0
Jakobi Meyers,28,LVR,WR,15,87,1027,4,43,68.5,0
Calvin Ridley,30,TEN,WR,17,64,1017,4,63,59.8,1
Nico Collins,25,HOU,WR,12,68,1006,7,67,83.8,0
Mike Evans,31,TAM,WR,14,74,1004,11,57,71.7,0
Jameson Williams,23,DET,WR,15,58,1001,7,82,66.7,0
D.K. Metcalf,27,SEA,WR,15,66,992,5,71,66.1,2
Darnell Mooney,27,ATL,WR,16,64,992,5,49,62.0,0
Puka Nacua,23,LAR,WR,11,79,990,3,51,90.0,0
Jauan Jennings,27,SFO,WR,15,77,975,6,45,65.0,1
D.J. Moore,27,CHI,WR,17,98,966,6,44,56.8,1
Tyreek Hill,30,MIA,WR,17,81,959,6,80,56.4,0
Tee Higgins,25,CIN,WR,12,73,911,10,42,75.9,1
George Pickens,23,PIT,WR,14,59,900,3,44,64.3,1
Marvin Harrison Jr.,22,ARI,WR,17,62,885,8,60,52.1,1
Jonnu Smith,29,MIA,TE,17,88,884,8,57,52.0,2
Jordan Addison,22,MIN,WR,15,63,875,9,69,58.3,0
Jayden Reed,24,GNB,WR,17,55,857,6,70,50.4,3
Davante Adams,32,NYJ,WR,11,67,854,7,71,77.6,0
DeVonta Smith,26,PHI,WR,13,68,833,8,49,64.1,0
Alec Pierce,24,IND,WR,16,37,824,7,65,51.5,0
Travis Kelce,35,KAN,TE,16,97,823,3,38,51.4,2
Khalil Shakir,24,BUF,WR,15,76,821,4,52,54.7,1
Michael Pittman Jr.,27,IND,WR,16,69,808,3,33,50.5,1
Josh Downs,23,IND,WR,14,72,803,5,69,57.4,0
Rashod Bateman,25,BAL,WR,17,45,756,9,59,44.5,0
Keenan Allen,32,CHI,WR,15,70,744,7,45,49.6,1
Jaylen Waddle,26,MIA,WR,15,58,744,2,63,49.6,0
Rome Odunze,22,CHI,WR,17,54,734,3,47,43.2,2
Sam LaPorta,23,DET,TE,16,60,726,7,52,45.4,0
Quentin Johnston,23,LAC,WR,15,55,711,8,66,47.4,0
Cooper Kupp,31,LAR,WR,12,67,710,6,69,59.2,1
Tucker Kraft,24,GNB,TE,17,50,707,7,67,41.6,1
Wan'Dale Robinson,23,NYG,WR,17,93,699,3,35,41.1,0
Ray-Ray McCloud,28,ATL,WR,17,62,686,1,60,40.4,4
Hunter Henry,30,NWE,TE,16,66,674,2,35,42.1,0
